Long_sample_name,Sample,Antibiotic,Experiment,Day,Group,Mouse
Anaerobic_M9_LimPO,ANSM9POLim,spec,LB009,None,None,None
Anaerobic_M9_LimK,ANSM9KLim,spec,LB009,None,None,None
Anaerobic_M9_Cit_50mM,ANSM9Cit50mM,spec,LB009,None,None,None
Anaerobic_M9_Fum_20mM,ANSM9Fum20mM,spec,LB009,None,None,None
D7_C1,IGF122898,none,ME1,1,Control,1
D7_C1,IGF122899,spec,ME1,1,Control,1
D7_C2,IGF122900,none,ME1,1,Control,2
D7_C2,IGF122901,spec,ME1,1,Control,2
D7_C3,IGF122902,none,ME1,1,Control,3
D7_C3,IGF122903,spec,ME1,1,Control,3
D7_T1,IGF122904,none,ME1,1,DSS,1
D7_T1,IGF122905,spec,ME1,1,DSS,1
D7_T2,IGF122906,none,ME1,1,DSS,2
D7_T2,IGF122907,spec,ME1,1,DSS,2
D7_T3,IGF122908,none,ME1,1,DSS,3
D7_T3,IGF122909,spec,ME1,1,DSS,3
D8_C1,IGF122910,none,ME1,2,Control,1
D8_C1,IGF122911,spec,ME1,2,Control,1
D8_C2,IGF122912,none,ME1,2,Control,2
D8_C2,IGF122913,spec,ME1,2,Control,2
D8_C3,IGF122914,none,ME1,2,Control,3
D8_C3,IGF122915,spec,ME1,2,Control,3
D10_C2,IGF122916,none,ME1,4,Control,2
D10_C2,IGF122917,spec,ME1,4,Control,2
D12_C2,IGF122918,none,ME1,6,Control,2
D12_C2,IGF122919,spec,ME1,6,Control,2
D14_C2,IGF122922,none,ME1,8,Control,2
D14_C2,IGF122923,spec,ME1,8,Control,2
ME1_gavage,IGF122926,none,ME1,0,gavage,None
ME1_gavage,IGF122927,spec,ME1,0,gavage,None
ME4_D12_G10,ME4_D12_G10,none,ME4,12,5 mg strep,1
ME4_D12_G11,ME4_D12_G11,none,ME4,12,5 mg strep,2
ME4_D2_G10,ME4_D2_G10,none,ME4,2,5 mg strep,1
ME4_D2_G11,ME4_D2_G11,none,ME4,2,5 mg strep,2
ME4_D2_G20,ME4_D2_G20,none,ME4,2,1 mg strep,1
ME4_D2_G21,ME4_D2_G21,none,ME4,2,1 mg strep,2
ME4_D2_G30,ME4_D2_G30,none,ME4,2,0 ng strep ,1
ME4_D2_G31,ME4_D2_G31,none,ME4,2,0 mg strep,2
ME4_D4_G10,ME4_D4_G10,none,ME4,4,5 mg strep,1
ME4_D4_G11,ME4_D4_G11,none,ME4,4,5 mg strep,2
ME4_D7_G10,ME4_D7_G10,none,ME4,7,5 mg strep,1
ME4_D7_G11,ME4_D7_G11,none,ME4,7,5 mg strep,2
ME4_gavage,ME4_gavage,none,ME4,0,gavage,None
D11_G1M0,D11_G1M0,none,ME6,1,Control,1
D11_G1M0,D11_G1M0_Spec,spec,ME6,1,Control,1
D11_G1M1,D11_G1M1,none,ME6,1,Control,2
D11_G1M1,D11_G1M1_Spec,spec,ME6,1,Control,2
D11_G1M2,D11_G1M2,none,ME6,1,Control,3
D11_G1M2,D11_G1M2_Spec,spec,ME6,1,Control,3
D11_G1M3,D11_G1M3,none,ME6,1,Control,4
D11_G1M3,D11_G1M3_Spec,spec,ME6,1,Control,4
D11_G2M0,D11_G2M0,none,ME6,1,5 mg strep,1
D11_G2M0,D11_G2M0_Spec,spec,ME6,1,5 mg strep,1
D11_G2M1,D11_G2M1,none,ME6,1,5 mg strep,2
D11_G2M1,D11_G2M1_Spec,spec,ME6,1,5 mg strep,2
D11_G2M2,D11_G2M2,none,ME6,1,5 mg strep,3
D11_G2M2,D11_G2M2_Spec,spec,ME6,1,5 mg strep,3
D11_G2M3,D11_G2M3,none,ME6,1,5 mg strep,4
D11_G2M3,D11_G2M3_Spec,spec,ME6,1,5 mg strep,4
D11_G3M0,D11_G3M0,none,ME6,1,DSS,1
D11_G3M0,D11_G3M0_Spec,spec,ME6,1,DSS,1
D11_G3M1,D11_G3M1,none,ME6,1,DSS,2
D11_G3M1,D11_G3M1_Spec,spec,ME6,1,DSS,2
D11_G3M2,D11_G3M2,none,ME6,1,DSS,3
D11_G3M2,D11_G3M2_Spec,spec,ME6,1,DSS,3
D11_G3M3,D11_G3M3,none,ME6,1,DSS,4
D11_G3M3,D11_G3M3_Spec,spec,ME6,1,DSS,4
D11_G4M0,D11_G4M0,none,ME6,1,DSS Recovery,1
D11_G4M0,D11_G4M0_Spec,spec,ME6,1,DSS Recovery,1
D11_G4M1,D11_G4M1,none,ME6,1,DSS Recovery,2
D11_G4M1,D11_G4M1_Spec,spec,ME6,1,DSS Recovery,2
D11_G4M2,D11_G4M2,none,ME6,1,DSS Recovery,3
D11_G4M2,D11_G4M2_Spec,spec,ME6,1,DSS Recovery,3
D11_G4M3,D11_G4M3,none,ME6,1,DSS Recovery,4
D11_G4M3,D11_G4M3_Spec,spec,ME6,1,DSS Recovery,4
D12_G1M0,D12_G1M0,none,ME6,2,Control,1
D12_G1M0,D12_G1M0_Spec,spec,ME6,2,Control,1
D12_G1M1,D12_G1M1,none,ME6,2,Control,2
D12_G1M1,D12_G1M1_Spec,spec,ME6,2,Control,2
D12_G1M2,D12_G1M2,none,ME6,2,Control,3
D12_G1M2,D12_G1M2_Spec,spec,ME6,2,Control,3
D12_G1M3,D12_G1M3,none,ME6,2,Control,4
D12_G1M3,D12_G1M3_Spec,spec,ME6,2,Control,4
D12_G2M0,D12_G2M0,none,ME6,2,5 mg strep,1
D12_G2M0,D12_G2M0_Spec,spec,ME6,2,5 mg strep,1
D12_G2M1,D12_G2M1,none,ME6,2,5 mg strep,2
D12_G2M1,D12_G2M1_Spec,spec,ME6,2,5 mg strep,2
D12_G2M2,D12_G2M2,none,ME6,2,5 mg strep,3
D12_G2M2,D12_G2M2_Spec,spec,ME6,2,5 mg strep,3
D12_G2M3,D12_G2M3,none,ME6,2,5 mg strep,4
D12_G2M3,D12_G2M3_Spec,spec,ME6,2,5 mg strep,4
D12_G3M0,D12_G3M0,none,ME6,2,DSS,1
D12_G3M0,D12_G3M0_Spec,spec,ME6,2,DSS,1
D12_G3M1,D12_G3M1,none,ME6,2,DSS,2
D12_G3M1,D12_G3M1_Spec,spec,ME6,2,DSS,2
D12_G3M2,D12_G3M2,none,ME6,2,DSS,3
D12_G3M2,D12_G3M2_Spec,spec,ME6,2,DSS,3
D12_G3M3,D12_G3M3,none,ME6,2,DSS,4
D12_G3M3,D12_G3M3_Spec,spec,ME6,2,DSS,4
D12_G4M0,D12_G4M0,none,ME6,2,DSS Recovery,1
D12_G4M0,D12_G4M0_Spec,spec,ME6,2,DSS Recovery,1
D12_G4M1,D12_G4M1,none,ME6,2,DSS Recovery,2
D12_G4M1,D12_G4M1_Spec,spec,ME6,2,DSS Recovery,2
D12_G4M2,D12_G4M2,spec,ME6,2,DSS Recovery,3
D12_G4M2,D12_G4M2_Spec,none,ME6,2,DSS Recovery,3
D12_G4M3,D12_G4M3,none,ME6,2,DSS Recovery,4
D12_G4M3,D12_G4M3_Spec,spec,ME6,2,DSS Recovery,4
Gavage,Gavage,none,ME6,0,gavage,None
Gavage,Gavage_Spec,spec,ME6,0,gavage,None
